[DEBUG][generate_game_summary] Rounds data keys: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204]
[DEBUG][generate_game_summary] Round 0: ['game_state']
[DEBUG][generate_game_summary] Round 1: ['round', 'apple_position', 'game_state', 'planned_moves']
[DEBUG][generate_game_summary] Round 110: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 111: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 112: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 113: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 114: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 115: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 116: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 117: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 118: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 119: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 120: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 121: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 122: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 123: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 124: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 125: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 126: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 127: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 128: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 129: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 130: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 131: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 132: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 133: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 134: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 135: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 136: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 137: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 138: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 139: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 140: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 141: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 142: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 143: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 144: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 145: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 146: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 147: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 148: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 149: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 150: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 151: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 152: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 153: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 154: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 155: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 156: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 157: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 158: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 159: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 160: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 161: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 162: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 163: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 164: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 165: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 166: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 167: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 168: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 169: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 170: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 171: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 172: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 173: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 174: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 175: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 176: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 177: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 178: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 179: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 180: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 181: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 182: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 183: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 184: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 185: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 186: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 187: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 188: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 189: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 190: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 191: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 192: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 193: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 194: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 195: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 196: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 197: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 198: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 199: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 200: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 201: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 202: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 203: ['round', 'apple_position', 'planned_moves', 'game_state', 'moves']
[DEBUG][generate_game_summary] Round 204: ['round', 'apple_position', 'planned_moves', 'game_state']
[DEBUG][generate_game_summary] Dataset game states keys: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204]
